file,dir,iri,method
patterns-repository/Co-participation/ISWCco-participation.owl,patterns-repository/Co-participation,http://www.ontologydesignpatterns.org/cp/examples/coparticpation/ISWCco-participation.owl,xml:base
patterns-repository/Co-participation/ISWCco-participation.owl,patterns-repository/Co-participation,http://www.ontologydesignpatterns.org/cp/examples/coparticpation/ISWCco-participation.owl,xmlns (default namespace)
patterns-repository/Co-participation/coparticipation.owl,patterns-repository/Co-participation,http://www.ontologydesignpatterns.org/cp/owl/coparticipation.owl,owl:Ontology IRI/rdf:about
patterns-repository/Co-participation/coparticipation.owl,patterns-repository/Co-participation,http://www.ontologydesignpatterns.org/cp/owl/coparticipation.owl,xml:base
patterns-repository/Co-participation/coparticipation.owl,patterns-repository/Co-participation,http://www.ontologydesignpatterns.org/cp/owl/coparticipation.owl,xmlns (default namespace)
patterns-repository/Collection/DUL.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,owl:Ontology IRI/rdf:about
patterns-repository/Collection/DUL.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xml:base
patterns-repository/Collection/DUL.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xmlns (default namespace)
patterns-repository/Collection/collectionentity.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,owl:Ontology IRI/rdf:about
patterns-repository/Collection/collectionentity.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,xml:base
patterns-repository/Collection/collectionentity.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,xmlns (default namespace)
patterns-repository/Collection/cpannotationschema.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xml:base
patterns-repository/Collection/cpannotationschema.owl,patterns-repository/Collection,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xmlns (default namespace)
patterns-repository/CollectionEntity/DUL.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,owl:Ontology IRI/rdf:about
patterns-repository/CollectionEntity/DUL.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xml:base
patterns-repository/CollectionEntity/DUL.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl,xmlns (default namespace)
patterns-repository/CollectionEntity/ISTC.owl,patterns-repository/CollectionEntity,http://www.w3.org/1999/xhtml,xmlns (default namespace)
patterns-repository/CollectionEntity/collectionentity.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,owl:Ontology IRI/rdf:about
patterns-repository/CollectionEntity/collectionentity.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,xml:base
patterns-repository/CollectionEntity/collectionentity.owl,patterns-repository/CollectionEntity,http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl,xmlns (default namespace)
patterns-repository/CommunicationEvent/CommunicationEvent.owl,patterns-repository/CommunicationEvent,http://www.w3.org/1999/xhtml,xmlns (default namespace)
patterns-repository/Communities/communities.owl,patterns-repository/Communities,http://www.ontologydesignpatterns.org/cp/owl/communities.owl,owl:Ontology IRI/rdf:about
patterns-repository/Communities/communities.owl,patterns-repository/Communities,http://www.ontologydesignpatterns.org/cp/owl/communities.owl,xml:base
patterns-repository/Communities/communities.owl,patterns-repository/Communities,http://www.ontologydesignpatterns.org/cp/owl/communities.owl,xmlns (default namespace)
patterns-repository/Componency/componency.owl,patterns-repository/Componency,http://www.ontologydesignpatterns.org/cp/owl/componency.owl,owl:Ontology IRI/rdf:about
patterns-repository/Componency/componency.owl,patterns-repository/Componency,http://www.ontologydesignpatterns.org/cp/owl/componency.owl,xml:base
patterns-repository/Componency/componency.owl,patterns-repository/Componency,http://www.ontologydesignpatterns.org/cp/owl/componency.owl,xmlns (default namespace)
patterns-repository/ComputationalEnvironment/ComputationalEnvironment.owl,patterns-repository/ComputationalEnvironment,http://dase.cs.wright.edu/ontologies/ComputationalEnvironment,OWL/XML ontologyIRI
patterns-repository/ComputationalEnvironment/ComputationalEnvironment.owl,patterns-repository/ComputationalEnvironment,http://dase.cs.wright.edu/ontologies/ComputationalEnvironment,xml:base
patterns-repository/ComputationalEnvironment/ComputationalEnvironment.owl,patterns-repository/ComputationalEnvironment,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/ComputationalEnvironment/exampleCompEnv.owl,patterns-repository/ComputationalEnvironment,http://dase.cs.wright.edu/ontologies/ComputationalEnvironment,OWL/XML ontologyIRI
patterns-repository/ComputationalEnvironment/exampleCompEnv.owl,patterns-repository/ComputationalEnvironment,http://dase.cs.wright.edu/ontologies/ComputationalEnvironment,xml:base
patterns-repository/ComputationalEnvironment/exampleCompEnv.owl,patterns-repository/ComputationalEnvironment,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/Computer_System/ComputerSystem_ODP.owl,patterns-repository/Computer_System,http://mklab.iti.gr/pericles/ComputerSystem_ODP,owl:Ontology IRI/rdf:about
patterns-repository/Computer_System/ComputerSystem_ODP.owl,patterns-repository/Computer_System,http://mklab.iti.gr/pericles/ComputerSystem_ODP,xml:base
